Model,Architecture,Activation,LR,Train Acc,Test Acc
Exp3_Wide_Deep,60-128-128-64-1,ReLU,0.001,1.0,0.9285714030265808
Exp3_Wide_Deep,60-128-128-64-1,ReLU,0.001,1.0,0.9285714030265808
Exp5_Aggressive_LR,60-32-32-1,ReLU,0.01,1.0,0.9047619104385376
Exp2_Medium_Funnel,60-64-32-1,ReLU,0.001,1.0,0.9047619104385376
MLP v1,60-64-32-1,ReLU,0.001,1.0,0.9047619104385376
Exp5_Aggressive_LR,60-32-32-1,ReLU,0.01,1.0,0.9047619104385376
Exp2_Medium_Funnel,60-64-32-1,ReLU,0.001,1.0,0.9047619104385376
MLP v1,60-64-32-1,ReLU,0.001,1.0,0.9047619104385376
MLP v1,60-64-32-1,ReLU,0.001,1.0,0.9047619104385376
Exp1_Shallow_Narrow,60-16-1,ReLU,0.001,0.9819276928901672,0.8809523582458496
Exp1_Shallow_Narrow,60-16-1,ReLU,0.001,0.9819276928901672,0.8809523582458496
Exp4_Sigmoid_Hidden,60-64-32-1,Sigmoid,0.001,0.9036144614219666,0.8333333134651184
Linear,60-1,sigmoid,0.01,0.9337349534034729,0.8333333134651184
Exp4_Sigmoid_Hidden,60-64-32-1,Sigmoid,0.001,0.9036144614219666,0.8333333134651184
Exp4_Sigmoid_Hidden,60-64-32-1,Sigmoid,0.001,0.9036144614219666,0.8333333134651184
Linear,60-1,sigmoid,0.01,0.9337349534034729,0.8333333134651184
Linear,60-1,sigmoid,0.01,0.9337349534034729,0.8333333134651184
Experiment Summary,,,,,
